ptxt_len,aead_encrypt_baseline,aead_encrypt_best_scalar,aead_encrypt_best_vectorized,aead_encrypt_openssl, 
2048,66498.5,35545.4,11365.7,13608.1, 
4096,130102,68166.1,19135.7,19821.4, 
8192,280751,143502,37312.1,37651.8, 
16384,548231,277406,71490.7,64691.3, 
32768,1.10004e+06,570911,139543,118745, 
65536,2.07317e+06,1.05415e+06,255049,211524, 
131072,4.13481e+06,2.14168e+06,519399,418972, 
262144,8.30762e+06,4.18635e+06,1.04563e+06,827907, 
524288,1.79776e+07,8.40644e+06,2.08793e+06,1.65533e+06, 
1048576,3.35551e+07,1.68191e+07,4.30556e+06,3.34246e+06, 
2097152,6.76132e+07,3.43414e+07,9.67971e+06,6.99362e+06
4194304,1.3687e+08,6.77356e+07,1.76607e+07,1.3861e+07, 
8388608,2.80679e+08,1.61198e+08,4.30426e+07,3.33315e+07, 
16777216,5.4021e+08,2.73842e+08,7.7322e+07,5.7969e+07
