ptxt_len,aead_encrypt_baseline,aead_encrypt_best_scalar,aead_encrypt_best_vectorized,aead_encrypt_openssl, 
2048,73910.8,34454.2,11515.6,14788, 
4096,142064,65437.5,20120.8,20413.5, 
8192,319255,132070,36177.3,33739.4, 
16384,695417,282835,68708.2,61512.9, 
32768,1.17236e+06,568312,143496,147343, 
65536,2.23642e+06,997027,259787,215443, 
131072,4.46399e+06,2.01449e+06,523707,417626, 
262144,8.94921e+06,4.1223e+06,1.03989e+06,826422, 
524288,1.79515e+07,8.24258e+06,2.17221e+06,1.64785e+06, 
1048576,3.60974e+07,1.62581e+07,4.29035e+06,3.27949e+06, 
2097152,7.33921e+07,3.27292e+07,9.21266e+06,6.70926e+06
4194304,1.44419e+08,6.51341e+07,1.78323e+07,1.38005e+07, 
8388608,3.46688e+08,1.53782e+08,4.28309e+07,3.32978e+07, 
16777216,5.82123e+08,2.63706e+08,7.60387e+07,5.64324e+07
