ptxt_len,aead_encrypt_baseline,aead_encrypt_best_scalar,aead_encrypt_best_vectorized,aead_encrypt_openssl
1024,54101,49982,38121,38138
2048,107765,99534,74755,74772
4096,215093,198638,148023,148040
8192,429749,396846,294559,294576
16384,859061,793262,587631,587648
32768,1717685,1586094,1173775,1173792
65536,3434933,3171758,2346063,2346080
131072,6869429,6343086,4690639,4690656
262144,13738421,12685742,9379791,9379808
524288,27476405,25371054,18758095,18758112
1048576,54952373,50741678,37514703,37514720
2097152,109904309,101482926,75027919,75027936
4194304,219808181,202965422,150054351,150054368
8388608,439615925,405930414,300107215,300107232
16777216,879231413,811860398,600212943,600212960
33554432,1758462389,1623720366,1200424399,1200424416
