ptxt_len,aead_encrypt_baseline,aead_encrypt_scalar,aead_encrypt_vectorized
1024,40580,22675.2,11593.4
2048,76812.7,44921.3,21088.3
4096,155057,82996.5,34635.4
8192,297851,162463,64990.1
16384,611587,344027,116665
32768,1.20486e+06,636533,225214
65536,2.39622e+06,1.28031e+06,440695
131072,4.78075e+06,2.56388e+06,896701
262144,9.52481e+06,5.08041e+06,1.79139e+06
524288,1.90973e+07,1.02513e+07,3.51152e+06
1048576,3.81379e+07,2.03646e+07,7.07227e+06
2097152,7.71843e+07,4.15116e+07,1.56888e+07
4194304,1.59893e+08,8.91487e+07,3.24403e+07
