ptxt_len,chacha20_encrypt_baseline,chacha20_encrypt_unroll_ilp_ctxt,chacha20_encrypt_vectorized3,chacha20_encrypt_openssl, 
1024,166510,71739.6,65565.4,6317.94,
2048,299888,135964,128575,8665.78,
4096,592778,264729,256969,12787.7,
8192,1.22763e+06,532535,523958,21755.4,
16384,2.37264e+06,1.04906e+06,1.02757e+06,39629.5,
32768,4.7808e+06,2.10812e+06,2.06189e+06,75894.3, 
65536,9.45597e+06,4.20484e+06,4.15617e+06,146254, 
131072,1.9772e+07,9.24839e+06,8.36685e+06,289151, 
262144,3.80427e+07,1.69784e+07,1.66393e+07,580377, 
524288,7.58339e+07,3.37872e+07,3.31935e+07,1.13885e+06, 
1048576,1.50978e+08,6.76619e+07,6.64124e+07,2.2845e+06, 
2097152,3.02785e+08,1.35692e+08,1.33236e+08,4.6529e+06, 
4194304,6.06522e+08,2.71588e+08,3.06333e+08,9.75874e+06
