ptxt_len,chacha20_encrypt_baseline,chacha20_encrypt_strength_reduction,chacha20_encrypt_inline,chacha20_encrypt_unroll_ilp_ctxt,chacha20_encrypt_multiple_pt_blocks_at_once,chacha20_encrypt_2,chacha20_encrypt_vectorized2,chacha20_encrypt_vectorized3,chacha20_encrypt_openssl
1024,13735.8,12799.1,12226.1,11857.9,12585.9,4027.15,3004.09,2574.99,6320.36
2048,31278.3,32075.8,30146.2,28299.6,29122.5,8717.67,5692.46,5241.94,8297.29
4096,53006,53528,48817.5,48093.2,53601.5,15983.6,11409.6,10226.6,13070.3
8192,112127,108174,105312,106795,106492,35065,22430.9,19948,21347.8
16384,213963,204819,193578,186035,200258,66749,46688,40205.6,41297.1
32768,427758,463385,394812,428039,451886,146824,97363.4,84919.8,85142.9
65536,914222,914368,832921,787998,799049,276504,189992,166571,155238
131072,1.79175e+06,1.72211e+06,1.67883e+06,1.63018e+06,1.79147e+06,581455,422556,343481,303319
262144,3.52732e+06,3.52119e+06,3.40485e+06,3.15277e+06,3.30904e+06,1.0685e+06,753951,625830,594202
524288,6.90055e+06,6.72326e+06,6.797e+06,6.30444e+06,6.5206e+06,2.14196e+06,1.45132e+06,1.37728e+06,1.17528e+06
1048576,1.30735e+07,1.29158e+07,1.3658e+07,1.3516e+07,1.51944e+07,4.84671e+06,3.3386e+06,2.65818e+06,2.36888e+06
2097152,2.73617e+07,2.61675e+07,2.688e+07,2.4174e+07,2.5748e+07,8.4711e+06,5.78466e+06,5.05986e+06,4.66824e+06
4194304,5.24272e+07,5.19229e+07,7.81758e+07,5.77431e+07,5.24167e+07,1.7536e+07,1.23368e+07,1.07804e+07,9.88399e+06
8388608,1.05141e+08,1.03882e+08,9.97912e+07,9.66123e+07,1.03464e+08,3.4274e+07,2.36799e+07,2.143e+07,1.93002e+07
16777216,2.09713e+08,2.09333e+08,1.99341e+08,1.93329e+08,2.07393e+08,6.83669e+07,4.73335e+07,4.16468e+07,3.85921e+07
33554432,4.17466e+08,4.14761e+08,3.98661e+08,3.86666e+08,4.16936e+08,1.36827e+08,9.48943e+07,8.33676e+07,7.67579e+07
67108864,8.38151e+08,8.27911e+08,7.95737e+08,7.7199e+08,8.24069e+08,2.7758e+08,1.90615e+08,1.68472e+08,1.53772e+08
