ptxt_len,chacha20_encrypt_baseline,chacha20_encrypt_strength_reduction,chacha20_encrypt_inline,chacha20_encrypt_unroll_ilp_ctxt,chacha20_encrypt_multiple_pt_blocks_at_once,chacha20_encrypt_2,chacha20_encrypt_vectorized2,chacha20_encrypt_vectorized3,chacha20_encrypt_openssl
1024,15700.1,13056.5,11213.5,11085.2,12166.5,7187.63,3594.13,2875.79,6432.65
2048,31465.7,28588.6,24829.9,22077.7,24434.7,17155.3,5749.45,5132.53,8168.5
4096,62541.2,56135.5,44651.2,44075.7,49686.2,34058.3,11782.2,10063.2,12869.8
8192,126180,104767,88256.5,90954.9,97420.8,65894.5,22362.3,21155.9,21693.3
16384,243765,208092,176061,180201,197259,127443,44705.6,40048.5,39607
32768,563008,438192,366851,416249,479905,282403,98982.9,86794.4,75100.5
65536,1.12468e+06,977441,786655,750011,783565,512451,199008,170045,154970
131072,1.98651e+06,1.84236e+06,1.51591e+06,1.4374e+06,1.61598e+06,965131,379507,347158,296147
262144,4.22495e+06,3.59621e+06,3.01018e+06,3.09397e+06,3.66382e+06,1.74216e+06,716622,711825,710024
524288,8.19023e+06,6.81104e+06,5.67785e+06,5.67532e+06,6.28184e+06,3.49557e+06,1.42894e+06,1.3144e+06,1.1388e+06
1048576,1.64944e+07,1.37432e+07,1.16338e+07,1.16362e+07,1.28103e+07,7.07477e+06,2.86462e+06,2.56182e+06,2.68951e+06
2097152,3.17924e+07,2.6822e+07,2.27824e+07,2.27531e+07,2.52583e+07,1.39931e+07,5.78267e+06,5.05017e+06,4.59984e+06
4194304,6.44032e+07,5.50104e+07,4.57321e+07,4.5741e+07,5.06922e+07,2.83476e+07,1.17853e+07,1.0366e+07,9.56385e+06
8388608,1.29723e+08,1.07363e+08,9.13741e+07,9.14751e+07,1.01533e+08,5.71024e+07,2.36818e+07,2.07758e+07,1.92718e+07
16777216,2.52581e+08,2.15708e+08,1.83164e+08,1.82689e+08,2.04329e+08,1.13243e+08,4.74596e+07,4.19452e+07,3.85579e+07
33554432,5.03985e+08,4.30015e+08,3.67677e+08,3.64382e+08,4.04516e+08,2.25403e+08,9.49435e+07,8.33969e+07,7.64139e+07
67108864,1.00927e+09,8.62656e+08,7.28555e+08,7.2836e+08,8.11266e+08,4.5124e+08,1.90139e+08,1.67151e+08,1.53943e+08
