ptxt_len,chacha20_encrypt_baseline,chacha20_encrypt_unroll_ilp_ctxt,chacha20_encrypt_vectorized3,chacha20_encrypt_openssl
1024,35555,31442,21428,21436
2048,71107,62882,42846,42854
4096,142211,125762,85682,85690
8192,284419,251522,171354,171362
16384,568835,503042,342698,342706
32768,1137667,1006082,685386,685394
65536,2275331,2012162,1370762,1370770
131072,4550659,4024322,2741514,2741522
262144,9101315,8048642,5483018,5483026
524288,18202627,16097282,10966026,10966034
1048576,36405251,32194562,21932042,21932050
2097152,72810499,64389122,43864074,43864082
4194304,145620995,128778242,87728138,87728146
8388608,291241987,257556482,175456266,175456274
16777216,582483971,515112962,350912522,350912530
33554432,1164967939,1030225922,701825034,701825042
