ptxt_len,chacha20_encrypt_baseline,chacha20_encrypt_strength_reduction,chacha20_encrypt_inline,chacha20_encrypt_unroll_ilp_ctxt,chacha20_encrypt_multiple_pt_blocks_at_once,chacha20_encrypt_2,chacha20_encrypt_vectorized2,chacha20_encrypt_vectorized3,chacha20_encrypt_openssl
1024,35538,31730,31474,31346,31249,31701,26868,21428,21436
2048,71074,63458,62946,62690,62493,63391,53726,42846,42854
4096,142146,126914,125890,125378,124981,126771,107442,85682,85690
8192,284290,253826,251778,250754,249957,253531,214874,171354,171362
16384,568578,507650,503554,501506,499909,507051,429738,342698,342706
32768,1137154,1015298,1007106,1003010,999813,1014091,859466,685386,685394
65536,2274306,2030594,2014210,2006018,1999621,2028171,1718922,1370762,1370770
131072,4548610,4061186,4028418,4012034,3999237,4056331,3437834,2741514,2741522
262144,9097218,8122370,8056834,8024066,7998469,8112651,6875658,5483018,5483026
524288,18194434,16244738,16113666,16048130,15996933,16225291,13751306,10966026,10966034
1048576,36388866,32489474,32227330,32096258,31993861,32450571,27502602,21932042,21932050
2097152,72777730,64978946,64454658,64192514,63987717,64901131,55005194,43864074,43864082
4194304,145555458,129957890,128909314,128385026,127975429,129802251,110010378,87728138,87728146
8388608,291110914,259915778,257818626,256770050,255950853,259604491,220020746,175456266,175456274
16777216,582221826,519831554,515637250,513540098,511901701,519208971,440041482,350912522,350912530
33554432,1164443650,1039663106,1031274498,1027080194,1023803397,1038417931,880082954,701825034,701825042
67108864,2328887298,2079326210,2062548994,2054160386,2047606789,2076835851,1760165898,1403650058,1403650066
