ptxt_len,create_tag1305_baseline,inlined_create_tag,inlined_parallel_Horner_create_tag,inlined_carry_delay_parallel_Horner,memory_vect_inlined_carry_delay_parallel_Horner,poly1305_create_tag_openssl
1024,69023.8,19067.6,37131,20853,20795.9,4629.3
2048,136600,37631.6,66731.6,34825.7,34814.6,6835.32
4096,337956,77150.7,136521,74300.2,67695.6,8750.78
8192,520613,150862,242464,120088,119875,11653.2
16384,1.08692e+06,282672,477526,282058,269522,19983.4
32768,2.23204e+06,625068,1.02437e+06,451586,446421,41277
65536,4.40749e+06,1.13672e+06,1.88249e+06,880651,848543,65797.6
131072,8.317e+06,2.26545e+06,3.79329e+06,1.73302e+06,1.70793e+06,129051
262144,1.71468e+07,4.51464e+06,7.5205e+06,3.44691e+06,3.37685e+06,255462
524288,3.28034e+07,9.08795e+06,1.49877e+07,6.86654e+06,6.95655e+06,499063
1048576,6.57583e+07,1.81611e+07,2.99665e+07,1.38186e+07,1.36433e+07,1.00544e+06
2097152,1.31192e+08,3.61999e+07,5.99609e+07,2.75802e+07,2.75606e+07,2.02097e+06
4194304,2.65078e+08,7.27736e+07,1.1995e+08,5.56341e+07,5.41803e+07,4.04684e+06
8388608,5.28589e+08,1.45385e+08,2.40407e+08,1.10676e+08,1.08675e+08,8.17027e+06
