ptxt_len,create_tag1305_baseline,inlined_create_tag,inlined_parallel_Horner_create_tag,inlined_carry_delay_parallel_Horner,memory_vect_inlined_carry_delay_parallel_Horner,poly1305_create_tag_openssl
1024,18131.9,5303.09,7628.51,5681.1,3072.11,4380.91
2048,37416,9834.5,14036.4,9851.56,4165.58,5410.77
4096,71032.1,19024.5,26216.3,18064.9,6673.5,7163.84
8192,140986,37919.2,52298.5,34993,11568.7,11061.7
16384,280358,74874.9,101773,68008.5,22499.8,18807.3
32768,559858,149954,201118,136111,41531.5,34367.9
65536,1.12987e+06,298740,401410,270507,81213.1,65015
131072,2.26942e+06,597588,802025,537622,160978,126144
262144,4.52998e+06,1.19817e+06,1.6433e+06,1.07989e+06,321132,250185
524288,9.04039e+06,2.3994e+06,3.226e+06,2.16062e+06,637300,495240
1048576,1.81296e+07,4.81886e+06,6.45555e+06,4.29935e+06,1.29909e+06,982073
2097152,3.60972e+07,9.62407e+06,1.29179e+07,8.62927e+06,2.60609e+06,1.95919e+06
4194304,7.22615e+07,1.92563e+07,2.58545e+07,1.72939e+07,5.24358e+06,3.97266e+06
8388608,1.45611e+08,3.84846e+07,5.18289e+07,3.47295e+07,1.06605e+07,7.93498e+06
16777216,2.89402e+08,7.69555e+07,1.03677e+08,6.94118e+07,2.10796e+07,1.57739e+07
33554432,5.78008e+08,1.53861e+08,2.07113e+08,1.3873e+08,4.22063e+07,3.16056e+07
67108864,1.15896e+09,3.08056e+08,4.14842e+08,2.76557e+08,8.43476e+07,6.47911e+07
