ptxt_len,create_tag1305_baseline,inlined_create_tag,inlined_parallel_Horner_create_tag,inlined_carry_delay_parallel_Horner,memory_vect_inlined_carry_delay_parallel_Horner,poly1305_create_tag_openssl
1024,18220,5198,11582,8687,16656,16665
2048,36332,10254,20814,15023,31872,31881
4096,72556,20366,39278,27695,62304,62313
8192,145004,40590,76206,53039,123168,123177
16384,289900,81038,150062,103727,244896,244905
32768,579692,161934,297774,205103,488352,488361
65536,1159276,323726,593198,407855,975264,975273
131072,2318444,647310,1184046,813359,1949088,1949097
262144,4636780,1294478,2365742,1624367,3896736,3896745
524288,9273452,2588814,4729134,3246383,7792032,7792041
1048576,18546796,5177486,9455918,6490415,15582624,15582633
2097152,37093484,10354830,18909486,12978479,31163808,31163817
4194304,74186860,20709518,37816622,25954607,62326176,62326185
8388608,148373612,41418894,75630894,51906863,124650912,124650921
