ptxt_len,poly2133_create_tag_baseline,poly2133_create_tag_unrolled,poly2133_create_tag_2level_inl_unr,poly2133_create_tag_delcarry,poly2133_create_tag_scalrep,poly2133_create_tag_vec,poly2133_create_tag_vec_8b
1024,25489,19227.9,20344.5,10016.1,10831.9,7616.03,10429.6
2048,46695.9,41781.3,38227.4,17177.6,18364.3,11918.6,14700.8
4096,98174.4,71916.8,73201.9,30039,34207.5,20755.8,22916.5
8192,186463,144555,144672,58599.6,72204.2,40533.8,40452.3
16384,462448,309211,307945,112616,129379,75609.6,71881.2
32768,739294,572521,563603,226423,255611,149603,137395
65536,1.48428e+06,1.14781e+06,1.12064e+06,450923,507091,290652,267762
131072,3.08167e+06,2.28629e+06,2.24696e+06,906469,1.01713e+06,579429,526863
262144,5.96716e+06,4.60062e+06,4.48629e+06,1.78096e+06,2.06288e+06,1.17343e+06,1.05544e+06
524288,1.19291e+07,9.29573e+06,9.06172e+06,3.56101e+06,4.05251e+06,2.31525e+06,2.13195e+06
1048576,2.39393e+07,1.84724e+07,1.82208e+07,7.15411e+06,8.08906e+06,4.67298e+06,4.25314e+06
2097152,4.78039e+07,3.704e+07,3.62674e+07,1.45396e+07,1.66898e+07,9.37577e+06,8.49376e+06
