ptxt_len,poly2133_create_tag_baseline,poly2133_create_tag_unrolled,poly2133_create_tag_2level_inl_unr,poly2133_create_tag_delcarry,poly2133_create_tag_scalrep,poly2133_create_tag_vec,poly2133_create_tag_vec_8b
1024,25043.8,18424.5,20066.1,9821.74,10511.8,7366.26,9564.86
2048,49206.3,35288.5,37422.7,16395.7,18406.3,11821,13527.6
4096,95034.6,69869.1,72894.8,31022.9,33933.2,20805.9,21971.8
8192,192175,139568,142557,58256.9,65507.2,40110.7,40683.4
16384,380008,279226,284139,112761,131998,76531.8,70707.5
32768,756662,561607,563791,221933,257657,153345,132631
65536,1.54161e+06,1.1172e+06,1.12844e+06,441584,501583,297015,254290
131072,3.03237e+06,2.27848e+06,2.2589e+06,890014,998818,585497,503161
262144,6.06111e+06,4.50047e+06,4.54751e+06,1.75546e+06,2.02153e+06,1.16229e+06,1.01782e+06
524288,1.21233e+07,9.03112e+06,9.01268e+06,3.56937e+06,4.03783e+06,2.34404e+06,2.01668e+06
1048576,2.42366e+07,1.82974e+07,1.80944e+07,7.12597e+06,8.14958e+06,4.67112e+06,4.06465e+06
2097152,5.07422e+07,3.91725e+07,4.12204e+07,1.50952e+07,1.74785e+07,1.04426e+07,9.45589e+06
