ptxt_len,poly2133_create_tag_baseline,poly2133_create_tag_unrolled,poly2133_create_tag_2level_inl_unr,poly2133_create_tag_delcarry,poly2133_create_tag_scalrep,poly2133_create_tag_vec,poly2133_create_tag_vec_8b
1024,41223,37050,40677,19344,28158,10530,9867
2048,82446,74100,81354,38688,56316,21060,19734
4096,165949,149150,163751,77872,113354,42390,39721
8192,332955,299250,328545,156240,227430,85050,79695
16384,665910,598500,657090,312480,454860,170100,159390
32768,1331820,1197000,1314180,624960,909720,340200,318780
65536,2663640,2394000,2628360,1249920,1819440,680400,637560
131072,5328337,4788950,5257763,2500336,3639602,1361070,1275373
262144,10656674,9577900,10515526,5000672,7279204,2722140,2550746
524288,21313348,19155800,21031052,10001344,14558408,5444280,5101492
1048576,42627753,38312550,42063147,20003184,29117538,10888830,10203237
2097152,85256563,76626050,84127337,40006864,58235798,21777930,20406727
4194304,170514183,153253050,168255717,80014224,116472318,43556130,40813707
8388608,341028366,306506100,336511434,160028448,232944636,87112260,81627414
16777216,682057789,613013150,673023911,320057392,465889994,174224790,163255081
33554432,1364116635,1226027250,1346048865,640115280,931780710,348449850,326510415
67108864,2728233270,2452054500,2692097730,1280230560,1863561420,696899700,653020830
134217728,5456466540,4904109000,5384195460,2560461120,3727122840,1393799400,1306041660
